,0
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,1.0
54,1.0
55,1.0
56,0.95
57,0.9
58,0.9
59,0.9
60,0.9
61,0.9
62,0.9
63,0.9
64,0.9
65,0.9
66,0.9
67,0.9
68,0.9
69,0.9
70,0.9
71,0.9
72,0.85
73,0.85
74,0.8
75,0.8
76,0.8
77,0.8
78,0.8
79,0.8
80,0.8
81,0.8
82,0.8
83,0.8
84,0.75
85,0.7
86,0.7
87,0.7
88,0.7
89,0.65
90,0.65
91,0.65
92,0.6
93,0.6
94,0.6
95,0.55
96,0.45
97,0.4
98,0.3
